ranking,primary_top_10,sensitivity_top_10,top_10_overlap,common_teams,avg_abs_rank_change_common_teams,material_change,notes
biggest_overperformers_relative_to_value,Mexico; South Africa; Argentina; IR Iran; France; Switzerland; Cabo Verde; Colombia; Morocco; USA,Mexico; Argentina; South Africa; IR Iran; France; Switzerland; Colombia; Cabo Verde; Morocco; USA,10,10,0.4,False,Sensitivity excludes rows with value_source=Transfermarkt or value_method containing manual.
biggest_underperformers_relative_to_value,Uzbekistan; Uruguay; Czechia; Tunisia; Türkiye; Haiti; Senegal; Panama; Ecuador; Sweden,Uzbekistan; Uruguay; Czechia; Tunisia; Türkiye; Haiti; Senegal; Panama; Ecuador; Sweden,10,10,0.0,False,Sensitivity excludes rows with value_source=Transfermarkt or value_method containing manual.
highest_bottom_three_value,England; France; Germany; Spain; Netherlands; Portugal; Argentina; Norway; Türkiye; Morocco,England; France; Germany; Spain; Netherlands; Portugal; Argentina; Norway; Türkiye; Morocco,10,10,0.0,False,Sensitivity excludes rows with value_source=Transfermarkt or value_method containing manual.
lowest_bottom_three_value,IR Iran; Curaçao; Cabo Verde; New Zealand; Qatar; Haiti; Jordan; Panama; Iraq; Uzbekistan,IR Iran; Curaçao; New Zealand; Cabo Verde; Haiti; Qatar; Panama; Jordan; South Africa; Saudi Arabia,8,8,0.75,False,Sensitivity excludes rows with value_source=Transfermarkt or value_method containing manual.
most_balanced_core_xi,England; South Africa; Netherlands; Germany; France; Japan; Mexico; Saudi Arabia; Iraq; Morocco,England; South Africa; Saudi Arabia; Iraq; Netherlands; Germany; France; Japan; Mexico; Morocco,10,10,2.0,True,Sensitivity excludes rows with value_source=Transfermarkt or value_method containing manual.
most_top_heavy_core_xi,Egypt; Ecuador; Uzbekistan; Colombia; Uruguay; Sweden; Ghana; Haiti; Algeria; Congo DR,Egypt; Ecuador; Colombia; Uruguay; Sweden; Uzbekistan; Haiti; Algeria; Scotland; Korea Republic,8,8,1.0,False,Sensitivity excludes rows with value_source=Transfermarkt or value_method containing manual.
